time,flowcount
"12/25/2022, 01:19:04",87
time,flowcount
"12/25/2022, 01:19:30",163
"12/25/2022, 01:19:32",164
"12/25/2022, 01:19:34",164
"12/25/2022, 01:19:36",164
"12/25/2022, 01:19:38",164
"12/25/2022, 01:19:40",164
"12/25/2022, 01:19:42",164
"12/25/2022, 01:19:44",164
"12/25/2022, 01:19:46",164
"12/25/2022, 01:19:48",164
"12/25/2022, 01:19:50",164
"12/25/2022, 01:19:52",164
"12/25/2022, 01:19:54",164
"12/25/2022, 01:19:56",164
"12/25/2022, 01:19:58",164
"12/25/2022, 01:20:00",164
"12/25/2022, 01:20:02",164
"12/25/2022, 01:20:04",164
"12/25/2022, 01:20:06",164
"12/25/2022, 01:20:08",164
"12/25/2022, 01:20:10",164
"12/25/2022, 01:20:12",164
"12/25/2022, 01:20:14",164
"12/25/2022, 01:20:16",164
"12/25/2022, 01:20:18",164
"12/25/2022, 01:20:20",164
"12/25/2022, 01:20:22",164
"12/25/2022, 01:20:24",164
"12/25/2022, 01:20:26",164
"12/25/2022, 01:20:28",164
time,flowcount
"12/26/2022, 06:07:56",3
"12/26/2022, 06:07:58",5
"12/26/2022, 06:08:00",5
"12/26/2022, 06:08:02",7
"12/26/2022, 06:08:04",7
"12/26/2022, 06:08:06",7
"12/26/2022, 06:08:08",7
"12/26/2022, 06:08:10",13
"12/26/2022, 06:08:12",19
"12/26/2022, 06:08:14",25
"12/26/2022, 06:08:16",31
"12/26/2022, 06:08:18",35
"12/26/2022, 06:08:20",37
"12/26/2022, 06:08:22",43
"12/26/2022, 06:08:24",43
"12/26/2022, 06:08:26",45
"12/26/2022, 06:08:28",49
"12/26/2022, 06:08:30",53
"12/26/2022, 06:08:32",57
"12/26/2022, 06:08:34",61
"12/26/2022, 06:08:36",63
"12/26/2022, 06:08:38",65
"12/26/2022, 06:08:40",65
"12/26/2022, 06:08:42",65
"12/26/2022, 06:08:44",67
"12/26/2022, 06:08:46",67
"12/26/2022, 06:08:48",75
"12/26/2022, 06:08:50",75
"12/26/2022, 06:08:52",77
time,flowcount
"12/26/2022, 06:09:27",100
"12/26/2022, 06:09:29",291
"12/26/2022, 06:09:31",482
"12/26/2022, 06:09:33",672
"12/26/2022, 06:09:35",857
"12/26/2022, 06:09:37",1003
"12/26/2022, 06:09:39",1089
"12/26/2022, 06:09:41",1216
"12/26/2022, 06:09:43",1343
"12/26/2022, 06:09:45",1470
"12/26/2022, 06:09:47",1596
"12/26/2022, 06:09:49",1723
time,flowcount
"12/26/2022, 06:10:22",129
"12/26/2022, 06:10:24",130
"12/26/2022, 06:10:26",130
"12/26/2022, 06:10:28",130
"12/26/2022, 06:10:30",130
"12/26/2022, 06:10:32",130
time,flowcount
"12/26/2022, 06:11:52",1
"12/26/2022, 06:11:54",1
"12/26/2022, 06:11:56",3
"12/26/2022, 06:11:58",3
"12/26/2022, 06:12:00",5
"12/26/2022, 06:12:02",7
"12/26/2022, 06:12:04",11
"12/26/2022, 06:12:06",15
"12/26/2022, 06:12:08",19
"12/26/2022, 06:12:10",29
"12/26/2022, 06:12:12",35
"12/26/2022, 06:12:14",35
"12/26/2022, 06:12:16",35
"12/26/2022, 06:12:18",35
"12/26/2022, 06:12:20",37
"12/26/2022, 06:12:22",41
"12/26/2022, 06:12:24",47
"12/26/2022, 06:12:26",49
"12/26/2022, 06:12:28",51
"12/26/2022, 06:12:30",55
"12/26/2022, 06:12:32",57
"12/26/2022, 06:12:34",57
"12/26/2022, 06:12:36",59
"12/26/2022, 06:12:38",59
"12/26/2022, 06:12:40",65
"12/26/2022, 06:12:42",65
"12/26/2022, 06:12:44",65
"12/26/2022, 06:12:46",67
"12/26/2022, 06:12:48",67
"12/26/2022, 06:12:50",67
"12/26/2022, 06:12:52",67
time,flowcount
"12/26/2022, 06:13:30",144
"12/26/2022, 06:13:32",334
"12/26/2022, 06:13:34",525
"12/26/2022, 06:13:36",715
"12/26/2022, 06:13:38",905
"12/26/2022, 06:13:40",1003
"12/26/2022, 06:13:42",1124
"12/26/2022, 06:13:44",1250
"12/26/2022, 06:13:46",1376
"12/26/2022, 06:13:48",1502
"12/26/2022, 06:13:50",1629
"12/26/2022, 06:13:52",1754
"12/26/2022, 06:13:54",1880
"12/26/2022, 06:13:56",2003
"12/26/2022, 06:13:58",2050
"12/26/2022, 06:14:00",2146
"12/26/2022, 06:14:02",2243
"12/26/2022, 06:14:04",2339
"12/26/2022, 06:14:06",2435
"12/26/2022, 06:14:08",2531
"12/26/2022, 06:14:10",2627
"12/26/2022, 06:14:12",2723
"12/26/2022, 06:14:14",2819
"12/26/2022, 06:14:16",2915
"12/26/2022, 06:14:18",3003
"12/26/2022, 06:14:20",3046
"12/26/2022, 06:14:22",3124
"12/26/2022, 06:14:24",3201
"12/26/2022, 06:14:26",3279
"12/26/2022, 06:14:28",3356
time,flowcount
"12/26/2022, 06:15:11",3
"12/26/2022, 06:15:13",7
"12/26/2022, 06:15:15",11
"12/26/2022, 06:15:17",13
"12/26/2022, 06:15:19",17
"12/26/2022, 06:15:21",21
"12/26/2022, 06:15:23",21
"12/26/2022, 06:15:25",23
"12/26/2022, 06:15:27",23
"12/26/2022, 06:15:29",27
"12/26/2022, 06:15:31",31
"12/26/2022, 06:15:33",35
"12/26/2022, 06:15:35",35
"12/26/2022, 06:15:37",39
"12/26/2022, 06:15:39",41
"12/26/2022, 06:15:41",43
"12/26/2022, 06:15:43",43
"12/26/2022, 06:15:45",47
"12/26/2022, 06:15:47",49
"12/26/2022, 06:15:49",51
"12/26/2022, 06:15:51",55
"12/26/2022, 06:15:53",55
"12/26/2022, 06:15:55",57
"12/26/2022, 06:15:57",59
"12/26/2022, 06:15:59",63
"12/26/2022, 06:16:01",67
"12/26/2022, 06:16:03",67
"12/26/2022, 06:16:05",69
